숫자,연산
500,+43x3342-4
501,+43x3342-3
502,+43x3342-2
503,+43x3342-1
504,+43x3342
505,+43x3342+1
506,+43x3342+2
507,+43x3342+3
508,+4x4442-4
509,+4x4442-3
510,+4x4442-2
511,+4x4442-1
512,+4x4442
513,+4x4442+1
514,+4x4442+2
515,+4x4442+3
516,+4x4442+4
517,+4x4442+32
518,+4x4442+6
519,+4x4442+43
520,+4x4442+44
521,+4x444+4x2+1
522,+4x444+4x2+2
523,+4x444+4x2+3
524,+4x444+4x2+4
525,+4x44+2x42-3
526,+4x44+2x42-2
527,+4x44+2x42-1
528,+4x44+2x42
529,+4x44+2x42+1
530,+4x44+2x42+2
531,+4x44+2x42+3
532,+4x44+2x42+4
533,+4x44+3x42-3
534,+4x44+3x42-2
535,+4x44+3x42-1
536,+32x3334-4
537,+32x3334-3
538,+32x3334-2
539,+32x3334-1
540,+32x3334
541,+32x3334+1
542,+32x3334+2
543,+32x3334+3
544,+32x3334+4
545,+4x44+4x42+1
546,+4x44+4x42+2
547,+4x44+4x42+3
548,+4x44+4x42+4
549,+4x44-3x33
550,+4x44-3x33+1
551,+4x44-3x33+2
552,+4x44-3x33+3
553,+4x44-3x33+4
554,+4x44-2x33-4
555,+4x44-2x33-3
556,+4x44-2x33-2
557,+4x44-2x33-1
558,+4x44-2x33
559,+4x44-2x33+1
560,+4x44-2x33+2
561,+4x44-2x33+3
562,+4x44-2x33+4
563,+43x3333-4
564,+43x3333-3
565,+43x3333-2
566,+43x3333-1
567,+43x3333
568,+43x3333+1
569,+43x3333+2
570,+43x3333+3
571,+43x3333+4
572,+4x4433-4
573,+4x4433-3
574,+4x4433-2
575,+4x4433-1
576,+4x4433
577,+4x4433+1
578,+4x4433+2
579,+4x4433+3
580,+4x4433+4
581,+4x4433+41
582,+4x4433+42
583,+4x4433+43
584,+4x4433+44
585,+4x44+1x33
586,+4x44+1x33+1
587,+4x44+1x33+2
588,+4x44+1x33+3
589,+4x44+1x33+4
590,+443x3332-4
591,+443x3332-3
592,+443x3332-2
593,+443x3332-1
594,+443x3332
595,+443x3332+1
596,+443x3332+2
597,+443x3332+3
598,+443x3332+4
599,+4x44+3x33-4
600,+4x44+3x33-3
601,+4x44+3x33-2
602,+4x44+3x33-1
603,+4x44+3x33
604,+4x44+3x33+1
605,+4x44+3x33+2
606,+4x44+3x33+3
607,+4x44+3x33+4
608,+4x44+4x33-4
609,+4x44+4x33-3
610,+4x44+4x33-2
611,+4x44+4x33-1
612,+4x44+4x33
613,+4x44+4x33+1
614,+4x44+4x33+2
615,+4x44+4x33+3
616,+4x44+4x33+4
617,+4x44+4x33+32
618,+4x44+4x33+6
619,+4x44+4x33+43
620,+4x34+4x43-4
621,+4x34+4x43-3
622,+4x34+4x43-2
623,+4x34+4x43-1
624,+4x34+4x43
625,+4x34+4x43+1
626,+4x34+4x43+2
627,+4x34+4x43+3
628,+4x34+4x43+4
629,+3x34-1x332-1
630,+3x34-1x332
631,+3x34-1x332+1
632,+32x4442-8
633,+32x4442-7
634,+32x4442-6
635,+32x4442-5
636,+32x4442-4
637,+32x4442-3
638,+32x4442-2
639,+32x4442-1
640,+32x4442
641,+32x4442+1
642,+32x4442+2
643,+32x4442+3
644,+2x33334-4
645,+2x33334-3
646,+2x33334-2
647,+2x33334-1
648,+2x33334
649,+2x33334+1
650,+2x33334+2
651,+2x33334+3
652,+2x33334+4
653,+2x33334+32
654,+2x33334+6
655,+2x33334+43
656,+2x33334+44
657,+3x332+1x43-3
658,+3x332+1x43-2
659,+3x332+1x43-1
660,+3x332+1x43
661,+3x332+1x43+1
662,+3x332+1x43+2
663,+3x332+1x43+3
664,+43x4432-44
665,+43x4432-43
666,+43x4432-42
667,+43x4432-41
668,+43x4432-4
669,+43x4432-3
670,+43x4432-2
671,+43x4432-1
672,+43x4432
673,+43x4432+1
674,+43x4432+2
675,+43x4432+3
676,+43x4432+4
677,+43x4432+32
678,+43x4432+6
679,+43x4432+43
680,+43x4432+44
681,+3x342+4x33-3
682,+3x342+4x33-2
683,+3x342+4x33-1
684,+3x342+4x33
685,+3x342+4x33+1
686,+3x342+4x33+2
687,+3x342+4x33+3
688,+3x342+4x33+4
689,+3x333-4x33-4
690,+3x333-4x33-3
691,+3x333-4x33-2
692,+3x333-4x33-1
693,+3x333-4x33
694,+3x333-4x33+1
695,+3x333-4x33+2
696,+3x333-4x33+3
697,+3x333-4x33+4
698,+4x3+1x3332-4
699,+4x3+1x3332-3
